iter	MultiClass
0	2.27513799
1	2.187593051
2	2.120442156
3	2.063126023
4	2.010263318
5	1.966709506
6	1.924777577
7	1.889991045
8	1.85667498
9	1.827617363
10	1.797394594
11	1.771471589
12	1.744335132
13	1.721479971
14	1.700324234
15	1.680376386
16	1.661241964
17	1.642506147
18	1.623532374
19	1.606826277
20	1.590201274
21	1.570473031
22	1.553839741
23	1.540801466
24	1.527164988
25	1.514849219
26	1.501076362
27	1.486121069
28	1.47504314
29	1.463324153
30	1.453215683
31	1.439389907
32	1.428275515
33	1.419236896
34	1.407909174
35	1.398207714
36	1.387548278
37	1.376840185
38	1.367835543
39	1.358551865
40	1.349745637
41	1.341425736
42	1.33068639
43	1.322650378
44	1.313374751
45	1.305264274
46	1.295665573
47	1.28886669
48	1.277584309
49	1.269855153
50	1.263311391
51	1.255073176
52	1.247436242
53	1.241098708
54	1.236027189
55	1.228445778
56	1.221641094
57	1.215851803
58	1.209668052
59	1.204274761
60	1.198139666
61	1.191259925
62	1.186014616
63	1.180471568
64	1.175834879
65	1.171066308
66	1.163603874
67	1.157938178
68	1.152508424
69	1.147736066
70	1.142419488
71	1.138023596
72	1.131132135
73	1.126201732
74	1.121713262
75	1.117109366
76	1.113178846
77	1.107885591
78	1.102947256
79	1.097590072
80	1.093300845
81	1.088795446
82	1.084139223
83	1.080717762
84	1.075881238
85	1.071164994
86	1.065271524
87	1.061692374
88	1.058012122
89	1.05339615
90	1.048382048
91	1.044392218
92	1.040014557
93	1.035967783
94	1.030775866
95	1.026616744
96	1.023679598
97	1.0204369
98	1.016181649
99	1.011883188
100	1.008450361
101	1.0057314
102	1.002007701
103	0.9985919221
104	0.9958355511
105	0.9924950657
106	0.9893609263
107	0.9861023045
108	0.9824983521
109	0.9788861718
110	0.9759632915
111	0.9717664049
112	0.9693481431
113	0.9667709486
114	0.9631485279
115	0.9599512891
116	0.9569370743
117	0.9536492705
118	0.9506680852
119	0.9463851916
120	0.944051457
121	0.9416737422
122	0.9382376604
123	0.9360237912
124	0.9333555582
125	0.9308462579
126	0.9282351459
127	0.924508842
128	0.9218183525
129	0.9193094073
130	0.9164569664
131	0.9131749634
132	0.9110376305
133	0.9090704176
134	0.9065338886
135	0.9038317973
136	0.9010313277
137	0.8986437276
138	0.8960285314
139	0.8929106109
140	0.8905801319
141	0.8873931925
142	0.8850694615
143	0.8825842526
144	0.8798924017
145	0.877033864
146	0.8748086297
147	0.8726637793
148	0.8703552017
149	0.8681835961
150	0.8652327176
151	0.8635293269
152	0.8612988246
153	0.8592918341
154	0.8575769009
155	0.8555872539
156	0.8539912982
157	0.8522535757
158	0.8499287792
159	0.8479004794
160	0.845476831
161	0.8435291517
162	0.8421003564
163	0.8403763075
164	0.8381414248
165	0.8364021633
166	0.8338663446
167	0.8321234724
168	0.8299603314
169	0.8286209763
170	0.8261942499
171	0.8243606943
172	0.82257544
173	0.8200937235
174	0.8180275403
175	0.8157277823
176	0.8140316724
177	0.8119461331
178	0.809815489
179	0.8081594526
180	0.8059518578
181	0.8039263992
182	0.8018894572
183	0.7999064991
184	0.7977913634
185	0.7958062151
186	0.7937944893
187	0.7922416259
188	0.7904923608
189	0.7892419725
190	0.7879855465
191	0.7856769689
192	0.7841975045
193	0.7828456006
194	0.7810090262
195	0.779170676
196	0.7776574125
197	0.7758948883
198	0.7742435873
199	0.7729691075
200	0.7714281419
201	0.7700724496
202	0.7687538712
203	0.7669777326
204	0.7656345892
205	0.7644367641
206	0.7630154863
207	0.7616286586
208	0.76031523
209	0.7588442302
210	0.7570621723
211	0.7553870758
212	0.7536617838
213	0.7518504255
214	0.750378893
215	0.7490576509
216	0.7478499406
217	0.7462754126
218	0.7449185365
219	0.7436876818
220	0.7421922354
221	0.7408141091
222	0.7394630931
223	0.7382442545
224	0.7374501242
225	0.7361015942
226	0.7349407646
227	0.7336932767
228	0.7323194123
229	0.7305784934
230	0.729084882
231	0.7273140707
232	0.7262130258
233	0.7245574037
234	0.7233135266
235	0.721948186
236	0.7202644473
237	0.7188016753
238	0.7175334108
239	0.71670998
240	0.7148413231
241	0.7135696846
242	0.712307221
243	0.7111362694
244	0.709604597
245	0.707836627
246	0.7065536826
247	0.7055874789
248	0.7045912052
249	0.7037207161
250	0.7027207133
251	0.7017839284
252	0.7006924727
253	0.6996938313
254	0.6986456455
255	0.6977646201
256	0.6967167895
257	0.6955392675
258	0.6941308345
259	0.6932930791
260	0.6924486941
261	0.6916364507
262	0.6903087566
263	0.6889835487
264	0.6878476984
265	0.686776605
266	0.6855246777
267	0.6849470154
268	0.6838043579
269	0.6825895445
270	0.6814214933
271	0.680566276
272	0.679159678
273	0.6780501093
274	0.6769978392
275	0.6758631136
276	0.6749803717
277	0.67421714
278	0.6734500607
279	0.6727549599
280	0.6720170627
281	0.671164805
282	0.670538131
283	0.6696054896
284	0.6686457378
285	0.6678365133
286	0.6666753877
287	0.6659284932
288	0.6643408245
289	0.6632674226
290	0.6629422766
291	0.6615462149
292	0.6607331428
293	0.659255691
294	0.6584747015
295	0.6575659739
296	0.656679266
297	0.6556866623
298	0.6549769409
299	0.6540425828
