iter	Passed	Remaining
0	636	190397
1	1090	162540
2	1579	156379
3	2053	151927
4	2540	149860
5	3012	147635
6	3480	145703
7	3936	143690
8	4420	142934
9	4939	143234
10	5421	142443
11	5919	142056
12	6363	140480
13	6834	139615
14	7308	138856
15	7786	138203
16	8200	136509
17	8642	135405
18	9035	133630
19	9509	133136
20	9969	132446
21	10464	132233
22	10897	131244
23	11259	129486
24	11705	128761
25	12108	127602
26	12538	126776
27	13017	126454
28	13386	125095
29	13831	124482
30	14168	122948
31	14675	122909
32	15102	122194
33	15449	120868
34	15875	120198
35	16296	119509
36	16749	119058
37	17197	118574
38	17579	117646
39	17969	116798
40	18363	116001
41	18792	115439
42	19302	115364
43	19647	114313
44	20116	113993
45	20495	113171
46	20961	112834
47	21371	112201
48	21882	112090
49	22299	111498
50	22669	110678
51	23103	110185
52	23524	109633
53	23870	108745
54	24217	107879
55	24706	107649
56	25080	106922
57	25455	106209
58	25827	105500
59	26220	104881
60	26652	104426
61	27075	103935
62	27425	103170
63	27790	102478
64	28177	101872
65	28544	101204
66	28975	100765
67	29388	100266
68	29769	99663
69	30156	99087
70	30559	98566
71	30930	97946
72	31423	97714
73	31780	97060
74	32165	96495
75	32501	95792
76	32849	95134
77	33351	94923
78	33750	94416
79	34204	94061
80	34602	93556
81	34997	93041
82	35406	92569
83	35736	91892
84	36115	91349
85	36556	90965
86	36974	90524
87	37348	89976
88	37745	89486
89	38188	89107
90	38642	88751
91	39020	88219
92	39488	87894
93	39883	87403
94	40383	87142
95	40794	86687
96	41133	86083
97	41469	85478
98	41872	85013
99	42329	84659
100	42727	84186
101	43062	83591
102	43540	83275
103	43941	82812
104	44265	82206
105	44672	81758
106	45029	81221
107	45375	80668
108	45784	80227
109	46201	79802
110	46580	79312
111	47012	78914
112	47360	78375
113	47696	77819
114	48122	77414
115	48502	76935
116	48928	76529
117	49334	76092
118	49812	75765
119	50266	75400
120	50671	74960
121	51011	74427
122	51457	74048
123	51796	73516
124	52158	73022
125	52478	72470
126	52850	71992
127	53359	71702
128	53754	71256
129	54149	70811
130	54521	70337
131	54925	69904
132	55268	69396
133	55597	68874
134	55994	68437
135	56390	67999
136	56885	67680
137	57288	67251
138	57755	66896
139	58251	66572
140	58614	66097
141	59066	65721
142	59444	65264
143	59910	64903
144	60322	64482
145	60692	64017
146	61034	63526
147	61446	63107
148	61825	62655
149	62206	62206
150	62619	61789
151	62944	61288
152	63302	60820
153	63688	60379
154	64016	59885
155	64379	59427
156	64728	58956
157	65075	58485
158	65452	58042
159	65800	57575
160	66224	57174
161	66615	56746
162	66963	56282
163	67319	55826
164	67740	55423
165	68129	54996
166	68572	54611
167	68946	54172
168	69312	53727
169	69634	53250
170	70022	52823
171	70414	52401
172	70792	51968
173	71195	51555
174	71622	51158
175	72073	50779
176	72485	50371
177	72916	49976
178	73304	49552
179	73664	49109
180	74133	48739
181	74546	48332
182	74967	47929
183	75444	47563
184	75835	47140
185	76258	46738
186	76641	46312
187	77029	45889
188	77439	45480
189	77785	45033
190	78112	44577
191	78529	44172
192	78906	43746
193	79256	43305
194	79686	42908
195	80115	42510
196	80467	42071
197	80874	41662
198	81304	41264
199	81657	40828
200	82087	40431
201	82420	39986
202	82746	39538
203	83150	39129
204	83520	38704
205	83868	38270
206	84219	37837
207	84591	37415
208	84942	36984
209	85362	36584
210	85765	36176
211	86239	35797
212	86694	35410
213	87092	34999
214	87451	34573
215	87805	34146
216	88195	33733
217	88607	33329
218	88968	32906
219	89391	32505
220	89873	32126
221	90232	31703
222	90608	31286
223	90953	30859
224	91270	30423
225	91764	30046
226	92158	29636
227	92493	29208
228	92869	28793
229	93280	28389
230	93689	27985
231	94114	27585
232	94505	27175
233	94970	26786
234	95358	26375
235	95791	25977
236	96195	25570
237	96599	25164
238	97013	24760
239	97328	24332
240	97758	23932
241	98126	23517
242	98506	23106
243	98908	22700
244	99319	22296
245	99799	21907
246	100202	21500
247	100510	21074
248	100892	20664
249	101210	20242
250	101554	19825
251	101908	19411
252	102267	18998
253	102620	18584
254	103009	18178
255	103330	17759
256	103717	17353
257	104224	16966
258	104644	16565
259	104986	16151
260	105323	15738
261	105640	15321
262	106080	14923
263	106466	14518
264	106825	14109
265	107171	13698
266	107607	13299
267	107929	12887
268	108336	12484
269	108747	12083
270	109146	11679
271	109546	11276
272	109948	10873
273	110311	10467
274	110671	10061
275	111067	9658
276	111409	9250
277	111761	8844
278	112099	8437
279	112437	8031
280	112764	7624
281	113109	7219
282	113407	6812
283	113760	6409
284	114186	6009
285	114517	5605
286	114877	5203
287	115203	4800
288	115667	4402
289	116034	4001
290	116320	3597
291	116766	3199
292	117120	2798
293	117577	2399
294	117933	1998
295	118280	1598
296	118608	1198
297	119007	798
298	119323	399
299	119665	0
