iter	MultiClass
0	2.275397491
1	2.187469457
2	2.119986608
3	2.059975073
4	2.006207429
5	1.961026999
6	1.922292191
7	1.887190753
8	1.854953536
9	1.822848082
10	1.792201138
11	1.763950791
12	1.738955693
13	1.716021805
14	1.692976516
15	1.671825752
16	1.653767692
17	1.63383547
18	1.61575243
19	1.599334365
20	1.585581159
21	1.568078683
22	1.550306406
23	1.535981397
24	1.523327165
25	1.509114741
26	1.49590528
27	1.480962181
28	1.467640372
29	1.454594046
30	1.444098219
31	1.433290565
32	1.421735897
33	1.410654416
34	1.401375119
35	1.390053671
36	1.380504455
37	1.369850228
38	1.359829009
39	1.349245339
40	1.341353166
41	1.331759674
42	1.322987895
43	1.315342437
44	1.307567939
45	1.298005582
46	1.290301642
47	1.280048978
48	1.273329296
49	1.266369053
50	1.259295516
51	1.251880081
52	1.245806665
53	1.240121554
54	1.231758916
55	1.222785527
56	1.216472262
57	1.210737073
58	1.204089487
59	1.197887149
60	1.192958285
61	1.187437256
62	1.18237355
63	1.175549214
64	1.169673739
65	1.164203616
66	1.158771968
67	1.154409933
68	1.14905784
69	1.141596117
70	1.136644167
71	1.131403357
72	1.12485995
73	1.119995132
74	1.114678792
75	1.110053941
76	1.10638387
77	1.102322772
78	1.09842623
79	1.093163755
80	1.088033161
81	1.083834262
82	1.080686035
83	1.076666963
84	1.072189385
85	1.068263128
86	1.064643726
87	1.060890903
88	1.057225923
89	1.053059107
90	1.049888386
91	1.044098267
92	1.040059188
93	1.036388289
94	1.032940191
95	1.029336534
96	1.02582877
97	1.022369662
98	1.019175383
99	1.016152171
100	1.012443151
101	1.009647476
102	1.005449287
103	1.001965082
104	0.9988076206
105	0.994357389
106	0.9906357021
107	0.9871256885
108	0.9838116623
109	0.9789888121
110	0.9761427048
111	0.9724339219
112	0.9682913151
113	0.9654107576
114	0.9619074921
115	0.958587665
116	0.9560307144
117	0.9535225387
118	0.9504443365
119	0.9480810056
120	0.9453462991
121	0.9427048212
122	0.9372909311
123	0.9341608168
124	0.9317429693
125	0.9292888958
126	0.9260713538
127	0.9225497977
128	0.9204230011
129	0.9172847182
130	0.9146277911
131	0.9121074808
132	0.9094407869
133	0.9070766864
134	0.904895314
135	0.9024471598
136	0.9000612764
137	0.8980265837
138	0.8955469981
139	0.8925479959
140	0.8905381642
141	0.8870830816
142	0.8847103389
143	0.8824134815
144	0.8803717449
145	0.8784348387
146	0.8761072602
147	0.8742421548
148	0.8722615644
149	0.8696863824
150	0.8664638683
151	0.8640930198
152	0.8621293585
153	0.859143497
154	0.8570212583
155	0.8551043
156	0.8522909856
157	0.8484869023
158	0.8461146332
159	0.8444335582
160	0.8424824458
161	0.8409347913
162	0.8387009742
163	0.8362630011
164	0.8344227567
165	0.8323835062
166	0.8306744331
167	0.8285553315
168	0.8268315785
169	0.8243180755
170	0.8225389773
171	0.8201843476
172	0.8183340405
173	0.8170599751
174	0.8150219084
175	0.8129014454
176	0.8108659833
177	0.8093737333
178	0.8077321399
179	0.8054116645
180	0.8031345182
181	0.8015010934
182	0.7997441333
183	0.7977882262
184	0.7956198171
185	0.7936681127
186	0.7923427863
187	0.7907351696
188	0.7886401595
189	0.7867181107
190	0.7852862373
191	0.7825277946
192	0.7805113925
193	0.7786929902
194	0.7769049539
195	0.7755236312
196	0.7738097042
197	0.7723733322
198	0.7704798143
199	0.7689664325
200	0.7670640357
201	0.765193899
202	0.7637281081
203	0.762297241
204	0.7607634377
205	0.7593928881
206	0.7583234521
207	0.7567045887
208	0.7551266276
209	0.7538729837
210	0.7526095137
211	0.7510406683
212	0.7497900432
213	0.7481922525
214	0.7470564614
215	0.7458614775
216	0.7447105331
217	0.7432562849
218	0.7419459935
219	0.7398947268
220	0.7386612085
221	0.7376149761
222	0.7362226435
223	0.7350105529
224	0.7335586132
225	0.7324121082
226	0.7304757939
227	0.7290607313
228	0.7281151266
229	0.726856333
230	0.7250856401
231	0.7232094657
232	0.7221527562
233	0.7209596073
234	0.7193001377
235	0.7180416992
236	0.7166659998
237	0.7155142266
238	0.7145544157
239	0.7129417084
240	0.7114553184
241	0.7105267021
242	0.7095262257
243	0.7081376815
244	0.7073073843
245	0.7060397117
246	0.7045162079
247	0.7037198874
248	0.7026477286
249	0.7016830047
250	0.7006723471
251	0.6992076218
252	0.6977671062
253	0.6962758625
254	0.6952430669
255	0.6941943484
256	0.6935026215
257	0.6922137579
258	0.6910179454
259	0.689651184
260	0.6887391417
261	0.687928023
262	0.6868558642
263	0.6856341844
264	0.6848618961
265	0.6838408799
266	0.6824945401
267	0.6813622414
268	0.6802687731
269	0.6789390073
270	0.6775718316
271	0.6765265463
272	0.6757753899
273	0.6750054102
274	0.6743803345
275	0.6734034168
276	0.6725222139
277	0.6713937627
278	0.6703081671
279	0.6698178141
280	0.6689799403
281	0.6680599069
282	0.6668964728
283	0.665819105
284	0.6646766843
285	0.664255646
286	0.6629645331
287	0.6621766772
288	0.661499275
289	0.6606982783
290	0.6600093335
291	0.6591602723
292	0.658179803
293	0.6572463329
294	0.6565589271
295	0.6560226997
296	0.6552819613
297	0.6542383333
298	0.6536156845
299	0.6525428745
