iter	Passed	Remaining
0	541	161991
1	1001	149288
2	1499	148497
3	1974	146122
4	2456	144918
5	2943	144252
6	3429	143536
7	3919	143054
8	4370	141301
9	4884	141652
10	5341	140342
11	5819	139659
12	6290	138869
13	6781	138531
14	7229	137358
15	7646	135723
16	8042	133879
17	8531	133662
18	8986	132911
19	9406	131694
20	9766	129753
21	10195	128837
22	10732	129260
23	11193	128719
24	11580	127381
25	12008	126545
26	12387	125256
27	12883	125152
28	13323	124503
29	13819	124378
30	14307	124149
31	14739	123444
32	15263	123498
33	15781	123468
34	16265	123150
35	16779	123051
36	17262	122706
37	17814	122828
38	18221	121940
39	18719	121678
40	19128	120834
41	19608	120455
42	20015	119628
43	20508	119320
44	21044	119253
45	21632	119450
46	22134	119147
47	22657	118953
48	23238	119037
49	23711	118555
50	24123	117777
51	24518	116935
52	24898	116034
53	25313	115319
54	25727	114602
55	26196	114143
56	26637	113561
57	27024	112756
58	27436	112070
59	27822	111289
60	28182	110420
61	28554	109612
62	28922	108804
63	29387	108365
64	29799	107734
65	30153	106909
66	30533	106183
67	30932	105533
68	31320	104854
69	31833	104594
70	32190	103825
71	32594	103216
72	33077	102856
73	33416	102055
74	33877	101633
75	34237	100911
76	34588	100172
77	34951	99477
78	35330	98836
79	35816	98496
80	36278	98086
81	36655	97451
82	36972	96661
83	37433	96258
84	37864	95774
85	38270	95230
86	38638	94597
87	39009	93978
88	39387	93380
89	39788	92840
90	40098	92093
91	40645	91893
92	41085	91447
93	41486	90916
94	41863	90336
95	42295	89877
96	42684	89329
97	43099	88837
98	43483	88284
99	43852	87705
100	44243	87172
101	44618	86612
102	45092	86244
103	45474	85701
104	45872	85192
105	46367	84862
106	46770	84362
107	47198	83908
108	47735	83647
109	48151	83171
110	48508	82596
111	48929	82132
112	49423	81788
113	49782	81224
114	50177	80720
115	50608	80275
116	50952	79695
117	51313	79143
118	51703	78641
119	52045	78067
120	52427	77557
121	52802	77040
122	53313	76719
123	53707	76230
124	54055	75677
125	54452	75196
126	54887	74768
127	55377	74413
128	55743	73892
129	56154	73432
130	56582	72996
131	56997	72542
132	57379	72047
133	57865	71683
134	58210	71145
135	58606	70672
136	58994	70190
137	59370	69696
138	59778	69240
139	60177	68774
140	60518	68244
141	61001	67875
142	61380	67389
143	61741	66887
144	62108	66392
145	62480	65903
146	62856	65422
147	63213	64921
148	63572	64426
149	63989	63989
150	64457	63604
151	64886	63178
152	65234	62676
153	65689	62276
154	66068	61806
155	66444	61333
156	66884	60919
157	67426	60598
158	67878	60194
159	68214	59688
160	68700	59312
161	69016	58791
162	69429	58355
163	69847	57922
164	70217	57450
165	70636	57020
166	71042	56578
167	71454	56143
168	71811	55664
169	72299	55288
170	72654	54809
171	73079	54384
172	73462	53928
173	73764	53415
174	74159	52971
175	74625	52577
176	75029	52138
177	75413	51687
178	75803	51241
179	76206	50804
180	76648	50393
181	76983	49912
182	77407	49489
183	77818	49059
184	78257	48646
185	78700	48235
186	79049	47767
187	79504	47364
188	79926	46940
189	80322	46502
190	80657	46029
191	81124	45632
192	81563	45219
193	81951	44777
194	82361	44348
195	82721	43893
196	83160	43479
197	83494	43012
198	83931	42598
199	84329	42164
200	84716	41726
201	85105	41288
202	85489	40849
203	85864	40407
204	86244	39966
205	86586	39510
206	86933	39057
207	87313	38619
208	87712	38190
209	88108	37760
210	88494	37326
211	88897	36900
212	89253	36455
213	89680	36039
214	89984	35575
215	90355	35138
216	90746	34709
217	91119	34274
218	91544	33858
219	92013	33459
220	92400	33030
221	92747	32587
222	93111	32150
223	93488	31719
224	93879	31293
225	94224	30852
226	94671	30445
227	95129	30041
228	95446	29592
229	95852	29172
230	96320	28770
231	96796	28371
232	97141	27933
233	97546	27513
234	97952	27093
235	98296	26656
236	98656	26225
237	99022	25795
238	99372	25362
239	99851	24962
240	100236	24539
241	100545	24097
242	100932	23675
243	101351	23260
244	101694	22829
245	102054	22402
246	102475	21988
247	102775	21549
248	103125	21122
249	103470	20694
250	103822	20268
251	104233	19853
252	104653	19441
253	105119	19037
254	105455	18609
255	105835	18190
256	106138	17758
257	106598	17353
258	106977	16934
259	107325	16511
260	107671	16088
261	108062	15673
262	108422	15253
263	108891	14848
264	109210	14424
265	109576	14006
266	109945	13588
267	110371	13178
268	110753	12763
269	111141	12349
270	111524	11934
271	111922	11521
272	112226	11099
273	112546	10679
274	112884	10262
275	113252	9848
276	113640	9435
277	114008	9022
278	114426	8612
279	114727	8194
280	115053	7779
281	115428	7367
282	115820	6957
283	116237	6548
284	116632	6138
285	116912	5722
286	117319	5314
287	117649	4902
288	117983	4490
289	118313	4079
290	118631	3669
291	118961	3259
292	119301	2850
293	119654	2441
294	119969	2033
295	120253	1625
296	120583	1218
297	120923	811
298	121230	405
299	121576	0
